"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00238467068296691,0.749307890050336,0.36,0.175,1,"10","Cttn"
0.00240035844058272,0.326543143029682,0.32,0.144,1,"10","Snx21"
0.0024006953036367,1.03381029570128,0.2,0.085,1,"10","Rasa3"
0.00241417991041879,0.506921147329004,0.22,0.102,1,"10","Zfand1"
0.00241551674917704,0.33889408865048,0.22,0.088,1,"10","B4galt3"
0.00241782191169155,0.394614453688184,0.8,0.48,1,"10","Rtraf"
0.00243605128167587,0.492233904093642,0.28,0.11,1,"10","Slc31a1"
0.0024388701902352,0.303411320596976,0.32,0.129,1,"10","Kat7"
0.00244623883453539,0.367242833360716,0.7,0.385,1,"10","Pum1"
0.0024462597328278,0.383612504579062,0.18,0.057,1,"10","Mtmr14"
0.00247475586670355,0.390557531236663,0.56,0.27,1,"10","Pdcd6"
0.00247513390813125,0.749301015038793,0.24,0.078,1,"10","Slc35e4"
0.00247934083435854,0.353941145991082,0.58,0.344,1,"10","Nrcam"
0.00249532686952327,0.621037369953387,0.26,0.101,1,"10","Champ1"
0.00250617152287628,0.260566490678937,0.28,0.107,1,"10","Zfp553"
0.00251457655884874,0.807268107259301,0.16,0.055,1,"10","Elfn1"
0.00251457655884874,0.369330687924444,0.16,0.062,1,"10","Rgmb"
0.00252835393962395,0.254432343794701,0.28,0.139,1,"10","Tcof1"
0.00253497609913068,0.456034758329094,0.2,0.082,1,"10","Hist1h3e"
0.00254374311973986,1.21848346339964,0.2,0.057,1,"10","Zfp180"
0.00254718503403634,0.473716767546468,0.3,0.12,1,"10","Maea"
0.00255983495191025,0.370704482856834,0.36,0.16,1,"10","5730455P16Rik"
0.0025623977855316,0.255359449587616,0.76,0.47,1,"10","Psmb3"
0.00257042831627281,0.252273829450102,0.5,0.28,1,"10","Zmat5"
0.00257162541437101,0.356684863702093,0.36,0.14,1,"10","Nup35"
0.0025977832125982,0.282249518899446,0.56,0.316,1,"10","Rab5c"
0.00260360680707314,0.473069004393768,0.18,0.067,1,"10","Sdccag8"
0.00261278762828465,0.28631765330973,0.32,0.145,1,"10","Wipf2"
0.00262306904557874,0.465491239427439,0.52,0.233,1,"10","Smarce1"
