"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.92676488395088e-11,1.2233193196796,0.633,0.742,7.27747335942617e-07,"0","Hnrnpu"
4.02082879017593e-11,0.46737699970247,0.086,0.213,7.45180199683305e-07,"0","Cop1"
4.10084999554489e-11,0.371336786625742,0.094,0.25,7.60010529674335e-07,"0","Mib1"
4.12339179098213e-11,1.91292544853898,0.445,0.298,7.64188200622717e-07,"0","Ppp2r2b"
4.29957908996287e-11,0.610067946214474,0.185,0.389,7.96840992742819e-07,"0","Ppp1r10"
4.3281455750903e-11,2.96996400587637,0.26,0.122,8.02135219431486e-07,"0","Dpf3"
4.81017583068358e-11,0.345980023814357,0.092,0.236,8.91469886700589e-07,"0","Leo1"
4.84177581017195e-11,0.44347604172566,0.081,0.212,8.97326310899167e-07,"0","Ndel1"
4.88285402633999e-11,0.478765032280078,0.067,0.194,9.04939336701591e-07,"0","Ifngr1"
5.55747523138111e-11,0.38773138061843,0.115,0.274,1.02996688463186e-06,"0","Gtpbp4"
5.74030024934328e-11,0.32292639650712,0.059,0.183,1.06384984521079e-06,"0","Med8"
5.97313927643542e-11,0.263620208675746,0.091,0.255,1.10700190210178e-06,"0","Fbxw2"
6.07318056005947e-11,4.79521147615144,0.123,0.014,1.12554255319582e-06,"0","Gm14508"
6.34594258282293e-11,1.41462513929835,0.528,0.496,1.17609353887457e-06,"0","Sgip1"
6.62250212831898e-11,0.28467823899058,0.038,0.131,1.22734831944136e-06,"0","Zfp931"
7.68877582571044e-11,0.341222117035885,0.074,0.217,1.42496082377892e-06,"0","Akirin1"
7.83745998727964e-11,0.261992434487234,0.121,0.333,1.45251645944254e-06,"0","Llph"
8.0947143630398e-11,3.09557985594875,0.227,0.087,1.50019341290217e-06,"0","Pcare"
9.06388963031531e-11,0.309094383007088,0.132,0.34,1.67981066518634e-06,"0","Gon4l"
9.63352361561917e-11,0.441896389776543,0.176,0.391,1.7853809316827e-06,"0","Ubxn2a"
9.90234092624025e-11,0.381574025101957,0.146,0.328,1.83520084386011e-06,"0","Golga4"
1.06313200302874e-10,0.432215429530232,0.073,0.205,1.97030254121316e-06,"0","Mif4gd"
1.11511211801418e-10,0.265722995614284,0.131,0.342,2.06663728831569e-06,"0","Acbd3"
1.17739922667596e-10,0.275401632096576,0.236,0.544,2.18207398679856e-06,"0","Sarnp"
1.20296467666061e-10,0.417255136208655,0.108,0.272,2.22945443525511e-06,"0","Mettl23"
1.21147798366812e-10,0.30045664070772,0.053,0.165,2.24523214713213e-06,"0","Tmed1"
1.27288616835934e-10,0.342377622905357,0.184,0.424,2.35903993582037e-06,"0","Dcaf8"
1.27326375675394e-10,0.378287016427758,0.062,0.158,2.35973972039207e-06,"0","Zfp846"
1.47274796669437e-10,0.547050884814106,0.077,0.191,2.72944380667468e-06,"0","Dlg1"
1.48309207449159e-10,0.734735152789858,0.114,0.245,2.74861454165527e-06,"0","Pdcl"
1.48749765434354e-10,0.382055280867916,0.228,0.49,2.75677940279487e-06,"0","Mphosph8"
1.63543526709871e-10,0.417693386364914,0.14,0.333,3.03095218051404e-06,"0","Dhx15"
1.65039468183781e-10,0.291312606157595,0.167,0.384,3.05867646385001e-06,"0","Mecp2"
1.70074578947796e-10,0.260890129421326,0.102,0.271,3.15199217163951e-06,"0","Hmg20b"
1.70517569147263e-10,0.331388635843145,0.255,0.547,3.16020210900622e-06,"0","Wnk1"
1.72230435775273e-10,0.263686589920838,0.095,0.283,3.19194666622313e-06,"0","Smad4"
1.7266425716302e-10,3.52062657500253,0.232,0.063,3.19998667800226e-06,"0","Pitpnm3"
1.74486018234154e-10,0.311001492434469,0.117,0.299,3.23374937593358e-06,"0","Fto"
1.77564764274174e-10,0.295180056653078,0.103,0.277,3.29080777629327e-06,"0","Mrpl32"
1.79538824056356e-10,0.333079788324297,0.055,0.16,3.32739302623644e-06,"0","Ngly1"
1.80713935231588e-10,0.426176318551694,0.053,0.131,3.34917136164701e-06,"0","Josd1"
1.89998993391857e-10,5.06165728857894,0.134,0.014,3.52125134453128e-06,"0","Gramd2"
1.91584981447354e-10,0.413098010253459,0.144,0.32,3.55064446116381e-06,"0","Dld"
1.92024271643151e-10,4.11967929622888,0.159,0.041,3.55878582636252e-06,"0","Lrrc2"
1.93202795015168e-10,0.311750379002638,0.08,0.225,3.58062740001611e-06,"0","Lrrc8b"
2.00831111266381e-10,0.355204362023617,0.128,0.324,3.72200298509983e-06,"0","Eif4a3"
2.11890605225124e-10,0.396896267092472,0.18,0.4,3.92696858663723e-06,"0","Snrnp48"
2.15775546853093e-10,0.481345530385061,0.139,0.304,3.99896820982838e-06,"0","Rbm27"
2.45462661741098e-10,0.360097737987887,0.14,0.334,4.54915951004776e-06,"0","Ift43"
2.58495224501363e-10,0.403518296588816,0.131,0.295,4.79069199568375e-06,"0","Kmt5b"
2.61405244135727e-10,0.268335855426928,0.071,0.182,4.84462338956744e-06,"0","Chchd4"
2.70213393034725e-10,0.330388076054526,0.073,0.208,5.00786481311257e-06,"0","Nicn1"
2.84812191417186e-10,0.359816840330612,0.079,0.197,5.2784243435347e-06,"0","Aars"
2.93436156643036e-10,0.253526600604302,0.06,0.182,5.43825229106539e-06,"0","Mrps31"
3.14255786161923e-10,0.387251290555386,0.284,0.566,5.82410248493891e-06,"0","Bptf"
3.19573453807892e-10,0.42356648349933,0.049,0.127,5.92265481942167e-06,"0","Dnaja3"
3.22122542163791e-10,0.31958086493039,0.091,0.254,5.96989707392153e-06,"0","Ufm1"
3.31046838060263e-10,0.39884847209615,0.107,0.252,6.13529104977085e-06,"0","Kpna1"
3.44292496513653e-10,0.368569009741034,0.095,0.233,6.38077283788752e-06,"0","Rpp21"
